iter	RMSE
0	15.58958692
1	14.23277248
2	13.02739662
3	11.9312601
4	10.97510283
5	10.11794224
6	9.357349143
7	8.67155361
8	8.06648128
9	7.5406512
10	7.067054232
11	6.651161814
12	6.29654243
13	5.983213234
14	5.715435448
15	5.486568453
16	5.292887478
17	5.124629309
18	4.978452757
19	4.847424767
20	4.73612727
21	4.638379602
22	4.551296182
23	4.479412504
24	4.419985116
25	4.371039539
26	4.329114691
27	4.288408546
28	4.253977221
29	4.227701955
30	4.201351381
31	4.177335336
32	4.158065823
33	4.133818401
34	4.118581576
35	4.103978204
36	4.091466576
37	4.07755599
38	4.068491706
39	4.056983469
40	4.04811108
41	4.039176358
42	4.023798224
43	4.016394969
44	4.006800369
45	3.99776562
46	3.988049349
47	3.979278531
48	3.972784493
49	3.96334398
50	3.957036013
51	3.948882362
52	3.943533169
53	3.937224675
54	3.930530654
55	3.917876424
56	3.910215308
57	3.900047075
58	3.894931305
59	3.889501987
60	3.881502159
61	3.877511505
62	3.871040253
63	3.866675597
64	3.859784794
65	3.854475771
66	3.844834625
67	3.836148818
68	3.833390978
69	3.828242797
70	3.826133421
71	3.820819278
72	3.815023781
73	3.81218118
74	3.804898283
75	3.800518365
76	3.79446352
77	3.790561521
78	3.786350939
79	3.783750171
80	3.776387922
81	3.771490664
82	3.768167017
83	3.761431107
84	3.754830541
85	3.752275975
86	3.747784812
87	3.742228689
88	3.738860487
89	3.734742435
90	3.726156945
91	3.722845474
92	3.718234569
93	3.715368635
94	3.708023565
95	3.702125906
96	3.698061482
97	3.69131938
98	3.683787758
99	3.680411961
100	3.676098834
101	3.668242323
102	3.661847355
103	3.655738087
104	3.652743223
105	3.650556082
106	3.645510659
107	3.641238891
108	3.63429036
109	3.628975966
110	3.625121865
111	3.617852659
112	3.61346383
113	3.611766979
114	3.608239762
115	3.602117982
116	3.598971626
117	3.589116049
118	3.585487123
119	3.580120263
120	3.573556964
121	3.568984769
122	3.563427853
123	3.558254965
124	3.555240301
125	3.550139126
126	3.544938169
127	3.537731303
128	3.533939286
129	3.530544417
130	3.522354829
131	3.519423504
132	3.515310558
133	3.510074619
134	3.502314219
135	3.498433565
136	3.495580063
137	3.489843752
138	3.486384406
139	3.480242758
140	3.473477555
141	3.46403702
142	3.459121141
143	3.456903664
144	3.453117027
145	3.449806622
146	3.447042554
147	3.442471061
148	3.436633599
149	3.432021212
150	3.428590002
151	3.425957707
152	3.422744777
153	3.420342612
154	3.415835433
155	3.412627145
156	3.407523876
157	3.404911684
158	3.399902762
159	3.397863992
160	3.393701484
161	3.388553238
162	3.385095143
163	3.380708888
164	3.378052088
165	3.374456968
166	3.369681862
167	3.365116704
168	3.360791308
169	3.357639751
170	3.351852445
171	3.348533155
172	3.345511866
173	3.341291407
174	3.33537253
175	3.328576673
176	3.325639703
177	3.321779983
178	3.316455424
179	3.313152067
180	3.307836793
181	3.303907199
182	3.30109183
183	3.297575425
184	3.294743954
185	3.290359745
186	3.287221619
187	3.284704988
188	3.280684653
189	3.277818199
190	3.274138499
191	3.270084259
192	3.266973708
193	3.263949764
194	3.259657542
195	3.256318198
196	3.251999568
197	3.247876808
198	3.244444479
199	3.242092006
