iter	Passed	Remaining
0	3	658
1	6	646
2	9	620
3	12	592
4	14	565
5	16	545
6	19	529
7	21	519
8	23	507
9	26	499
10	28	490
11	30	485
12	33	479
13	35	473
14	38	474
15	41	473
16	44	474
17	46	473
18	49	468
19	51	463
20	54	460
21	56	456
22	58	453
23	61	449
24	63	445
25	66	442
26	68	441
27	71	440
28	74	436
29	76	432
30	78	428
31	81	425
32	83	422
33	85	419
34	88	416
35	90	412
36	92	408
37	95	405
38	97	403
39	99	399
40	102	398
41	105	395
42	107	392
43	109	388
44	111	385
45	114	382
46	117	381
47	119	379
48	122	376
49	124	374
50	127	371
51	129	368
52	131	366
53	134	363
54	136	360
55	139	357
56	141	354
57	143	351
58	145	348
59	148	346
60	150	343
61	153	340
62	155	337
63	157	334
64	159	331
65	162	329
66	164	326
67	167	324
68	169	321
69	171	319
70	174	316
71	176	313
72	178	311
73	181	308
74	183	305
75	185	303
76	188	300
77	190	297
78	192	294
79	194	291
80	197	289
81	199	287
82	202	284
83	204	282
84	207	280
85	209	277
86	212	275
87	214	272
88	216	270
89	218	267
90	221	265
91	223	262
92	225	260
93	228	257
94	230	254
95	232	252
96	235	249
97	237	246
98	239	244
99	241	241
100	243	238
101	246	236
102	248	233
103	250	231
104	253	229
105	255	226
106	258	224
107	261	222
108	264	220
109	266	217
110	268	215
111	271	213
112	273	210
113	275	208
114	278	205
115	280	203
116	282	200
117	285	198
118	287	195
119	289	193
120	292	190
121	294	188
122	296	185
123	298	183
124	301	180
125	303	178
126	305	175
127	308	173
128	310	170
129	313	168
130	315	166
131	317	163
132	319	161
133	322	158
134	324	156
135	326	153
136	329	151
137	331	148
138	333	146
139	335	143
140	337	141
141	340	138
142	342	136
143	344	134
144	347	131
145	349	129
146	351	126
147	353	124
148	356	121
149	358	119
150	360	117
151	362	114
152	365	112
153	367	109
154	369	107
155	371	104
156	374	102
157	376	100
158	378	97
159	380	95
160	383	92
161	385	90
162	387	88
163	390	85
164	392	83
165	394	80
166	397	78
167	399	76
168	401	73
169	404	71
170	406	68
171	408	66
172	411	64
173	413	61
174	415	59
175	417	56
176	420	54
177	422	52
178	424	49
179	426	47
180	429	45
181	431	42
182	433	40
183	436	37
184	438	35
185	440	33
186	443	30
187	445	28
188	447	26
189	450	23
190	452	21
191	454	18
192	456	16
193	459	14
194	461	11
195	465	9
196	470	7
197	475	4
198	480	2
199	485	0
