iter	MultiClass
0	0.8960927111
1	0.7441714858
2	0.6136451639
3	0.5179074041
4	0.4437320077
5	0.3906046949
6	0.3450765872
7	0.3116658469
8	0.2813688867
9	0.2509268049
10	0.2251739307
11	0.2075267773
12	0.190890327
13	0.1740158561
14	0.162744757
15	0.1497695773
16	0.1381374997
17	0.1289074392
18	0.1199518576
19	0.1120698151
20	0.1054355256
21	0.09979661503
22	0.09569461891
23	0.09095766802
24	0.08538216296
25	0.08130219094
26	0.07746572481
27	0.07348367808
28	0.0686035538
29	0.06397127985
30	0.06076443785
31	0.05834121202
32	0.05634544427
33	0.05427595079
34	0.05225860207
35	0.05038363183
36	0.04829118929
37	0.0457942877
38	0.04433500485
39	0.04246042404
40	0.04143908197
41	0.04018505638
42	0.03909695553
43	0.03781300851
44	0.03683951276
45	0.03583266193
46	0.03484193655
47	0.03422295587
48	0.0334514048
49	0.03255267157
50	0.03130931423
51	0.0304771259
52	0.02969994088
53	0.02865748098
54	0.02744932475
55	0.02690379131
56	0.02635215768
57	0.02575124439
58	0.02535738315
59	0.02480101638
60	0.02434384185
61	0.02394622124
62	0.02337631836
63	0.0226527544
64	0.02235000884
65	0.02206318403
66	0.02171021471
67	0.02139753762
68	0.02100644021
69	0.02063831277
70	0.0202624587
71	0.01979734175
72	0.01955683728
73	0.01926946212
74	0.0189926017
75	0.01869933491
76	0.01838618808
77	0.0180839977
78	0.01781236679
79	0.01754682883
80	0.01733846339
81	0.01712871186
82	0.01688254382
83	0.01671096894
84	0.01645357428
85	0.01615388504
86	0.01595004949
87	0.01575927821
88	0.01559780268
89	0.01533437597
90	0.01517343832
91	0.01495479658
92	0.0148186148
93	0.01468684299
94	0.01451925041
95	0.01437054625
96	0.01415439622
97	0.01401884531
98	0.0138422701
99	0.013671931
