iter	Passed	Remaining
0	10	1050
1	19	969
2	29	945
3	33	815
4	37	712
5	40	635
6	43	575
7	46	529
8	48	488
9	50	451
10	51	420
11	55	404
12	57	383
13	59	367
14	62	351
15	64	336
16	65	321
17	68	310
18	71	305
19	73	294
20	76	287
21	78	278
22	80	270
23	82	261
24	85	257
25	87	250
26	90	245
27	92	238
28	95	232
29	97	226
30	98	219
31	102	217
32	104	211
33	106	207
34	109	202
35	110	197
36	112	191
37	114	187
38	117	183
39	119	179
40	122	176
41	124	172
42	126	167
43	128	163
44	131	160
45	133	156
46	135	152
47	137	149
48	140	145
49	141	141
50	143	138
51	148	136
52	150	133
53	153	130
54	155	127
55	157	124
56	159	120
57	163	118
58	165	114
59	167	111
60	169	108
61	171	104
62	173	101
63	175	98
64	178	96
65	180	93
66	183	90
67	185	87
68	187	84
69	189	81
70	190	78
71	193	75
72	196	72
73	198	69
74	200	66
75	202	63
76	203	60
77	206	58
78	209	55
79	211	52
80	213	50
81	215	47
82	217	44
83	218	41
84	220	38
85	224	36
86	226	33
87	227	31
88	229	28
89	231	25
90	233	23
91	235	20
92	238	17
93	240	15
94	242	12
95	243	10
96	245	7
97	247	5
98	249	2
99	251	0
