iter	MultiClass
0	1.774377707
1	1.759557751
2	1.745926516
3	1.735904492
4	1.724497421
5	1.714884346
6	1.705707983
7	1.697480256
8	1.691793139
9	1.683729351
10	1.674321408
11	1.668846825
12	1.662649871
13	1.655279745
14	1.648285706
15	1.64348457
16	1.635145824
17	1.629209129
18	1.624080985
19	1.616699306
20	1.609722246
21	1.602630147
22	1.596710935
23	1.589589032
24	1.58286242
25	1.573132636
26	1.568161944
27	1.561446528
28	1.555459579
29	1.550004849
30	1.543230848
31	1.535674276
32	1.530207136
33	1.52497816
34	1.518680858
35	1.511795817
36	1.505827919
37	1.500898907
38	1.493072994
39	1.486704217
40	1.482203886
41	1.476549362
42	1.472295201
43	1.465253306
44	1.4588371
45	1.451405279
46	1.445836464
47	1.436696496
48	1.431366508
49	1.426054112
50	1.420681686
51	1.413983918
52	1.410099658
53	1.406622165
54	1.402425697
55	1.397790298
56	1.393081825
57	1.386698735
58	1.381446793
59	1.377960558
60	1.373758325
61	1.3696172
62	1.36163793
63	1.357174065
64	1.351743681
65	1.347210353
66	1.341453382
67	1.335777189
68	1.329668333
69	1.324784859
70	1.319692279
71	1.313944627
72	1.308523708
73	1.303326593
74	1.295653526
75	1.291374934
76	1.287138589
77	1.283949127
78	1.278363977
79	1.274503093
80	1.266993187
81	1.262539403
82	1.257749202
83	1.252671168
84	1.248762706
85	1.243210826
86	1.238236775
87	1.234799336
88	1.228449893
89	1.223785259
90	1.219739744
91	1.214394225
92	1.210200232
93	1.204652667
94	1.201480298
95	1.197684278
96	1.191854903
97	1.188246422
98	1.183908065
99	1.17980662
