iter	Passed	Remaining
0	145	14429
1	155	7614
2	163	5295
3	172	4128
4	181	3452
5	191	2996
6	199	2650
7	207	2391
8	215	2176
9	222	2004
10	229	1860
11	237	1743
12	245	1641
13	252	1553
14	260	1475
15	267	1404
16	275	1344
17	282	1287
18	289	1235
19	297	1189
20	306	1151
21	314	1113
22	322	1079
23	330	1046
24	338	1016
25	347	988
26	355	962
27	365	938
28	373	914
29	382	891
30	390	868
31	398	847
32	407	826
33	416	807
34	424	789
35	433	770
36	441	751
37	449	733
38	458	716
39	466	700
40	475	684
41	483	667
42	490	650
43	497	633
44	505	617
45	512	601
46	520	586
47	527	571
48	535	557
49	543	543
50	550	528
51	558	515
52	566	502
53	573	488
54	581	475
55	588	462
56	595	449
57	603	436
58	610	424
59	617	411
60	625	399
61	632	387
62	640	376
63	649	365
64	659	354
65	669	344
66	678	334
67	689	324
68	698	314
69	723	310
70	734	299
71	755	293
72	771	285
73	781	274
74	804	268
75	811	256
76	820	245
77	828	233
78	857	227
79	874	218
80	892	209
81	904	198
82	913	187
83	921	175
84	931	164
85	963	156
86	975	145
87	985	134
88	994	122
89	1002	111
90	1011	100
91	1019	88
92	1028	77
93	1036	66
94	1045	55
95	1052	43
96	1061	32
97	1069	21
98	1077	10
99	1085	0
